ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,dipoleX,dipoleY,dipoleZ,E,E_ang,E_ele,E_nb,E_oop,E_rele,E_rnb,E_rsol,E_rvdw,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,npr1,npr2,pmi,pmi1,pmi2,pmi3,pmiX,pmiY,pmiZ,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8
536.30865,0,0,536.30865,0,0,0,0,0,1.3223714,0,0,0,0,102.30404,64.319992,-3.2547362,8.760377900000002,0.37942868,0,0,0,0,-11.334967,0,24.973898000000002,29.762863,3.8703396,12.015114,0,0,1,0,0,0,0.009159662800000001,0.1002961,0.91259891,8071.5547,804.3593099999999,7318.9033,8019.8467,7220.7168,398.17511,452.66320999999994,4.560346599999999,3.7949773999999996,1.4565473999999998,0.3632026,293.5,313.23535,3.2988562999999993,0.082143329,2.8812466,2.4569347,1.7282077,0.82749951,0.42654437,0.19566847,0.062136635,0.019032398,813.875,474.75,341.0,277.5,229.0,189.25,130.125,85.375,0.5,0.70710677,0.5,0.5,0.5,1.0,-2.6173710999999997,-2.587198,-2.5653744,-7.401228,-7.1934977,-7.0434828,1.304281,434.25,560.5,435.875,180.25,76.125,29.125,8.25,2.25,0.22324046,0.10495496,0.55306298,0.46379578,0.51573408,0.74089122,0.93494886,1.0520933000000001,0.40509987,0.30001542,1.5718807,2.3878531,2.7607341,2.9403365000000004,2.8061216,2.54216,4.6716055999999995,4.644596099999999,1.3989331,491.08853,687.0,1422.75,890.25,486.375,180.25,76.125,29.125,8.25,2.25,988.5,329.75,50.5,0.0,0,0,0,0
497.20395,0,0,497.20395,0,0,0,0,0,1.2410848,0,0,0,0,-21.045954000000002,10.775243,-61.356646999999995,-50.518642,0.067354284,0,0,0,0,-28.619926,0,10.039295,15.011505,8.5907974,10.838005,0,0,1,0,0,0,0.06329578200000001,0.23887634,0.86718464,4935.1602,1119.524,4064.1699,4686.626,3787.4509,401.79294,745.9162,3.8837976000000003,3.3248665,1.6555993999999998,0.83649158,263.625,303.81299,1.2186248,0.057274044,2.8221700000000003,2.4040611000000003,1.8862421999999999,0.98217052,0.47325453,0.24853452,0.11693978,0.051189507999999995,543.0,305.75,220.625,171.25,134.0,106.625,56.75,37.125,0.5,0.70710677,0.86602539,0.5,0.5,0.70710677,-2.6777017000000005,-2.6640229,-2.6408792,-8.7287302,-8.627286,-8.424363099999999,1.2856718999999999,394.625,583.625,466.875,199.125,83.25,38.0,15.75,6.625,0.3773371,0.22189781,1.1282105,1.0160499,1.3902769,1.9597125,2.3836758,2.5259603999999998,1.5654736999999999,0.97609073,0.68636596,0.20543294,0.28964952,1.054608,2.1740444,2.79425,3.386945,3.5446258000000004,1.3807966999999999,458.24994000000004,632.75,1225.875,835.5,498.125,199.125,83.25,38.0,15.75,6.625,831.25,251.875,31.25,0.0,0,0,0,0
519.9411,0,0,519.9411,0,0,0,0,0,1.2382528999999998,0,0,0,0,68.283875,52.517941,-12.320535000000001,1.4412953000000002,0.0021379781,0,0,0,0,-12.160356,0,9.368334800000001,15.315854000000002,4.954165,13.761829999999998,0,0,1,0,0,0,0.00051812705,0.089413986,0.91168082,7651.5029,683.7771,6971.9116,7647.3169,6582.1738,471.08295,598.24585,4.7424183,4.431497599999999,1.3642155,0.10087155,274.75,296.25781,2.2333472000000003,0.09209881699999999,2.9101582,2.5791929,2.0423396,0.76284438,0.34609759,0.16199946,0.068560608,0.025593916,792.375,464.125,334.0,258.375,200.25,148.125,112.0,87.375,4.0311289,3.5,0.70710677,0.5,0.5,0.70710677,-2.4369516,-2.4268273999999996,-2.4144050999999997,-7.062497099999999,-7.042208199999999,-7.036521400000001,1.3032256000000002,384.0,554.75,468.125,161.0,63.25,23.75,10.0,3.5,0.18937126,0.091920659,0.49952719,0.4436205,0.29503199,0.2801958,0.25201029,0.24673215,0.48679194,0.46909228,0.26420534,0.44740626,0.69815743,1.1015396000000002,2.017503,3.2075076,4.2730879999999996,5.1498140999999995,1.3869517,481.54166,667.875,1406.875,931.625,511.5,161.0,63.25,23.75,10.0,3.5,1022.875,376.875,43.375,0.0,0,0,0,0
573.75964,0,0,573.75964,0,0,0,0,0,1.3429826,0,0,0,0,23.869776,15.136984,-28.988379,-10.979118,0.62124997,0,0,0,0,-19.542168,0,11.925435,21.47394,7.165225,18.00926,0,0,1,0,0,0,0.020065656,0.15183704,0.89398724,8203.5908,1217.7086,7169.6338,8019.8389,6981.769,1016.1525,205.66888,4.4345403,4.1849551,1.4172826,0.59281272,310.625,341.72952000000004,4.0456028,0.048543240999999994,2.7666681,2.2574549,1.766286,1.0494572,0.59958571,0.28069857,0.11016664,0.020776691,783.875,438.25,322.625,262.75,218.5,173.5,94.75,60.125,0.70710677,1.118034,0.5,0.5,0.70710677,1.118034,-2.7808743,-2.7558333999999998,-2.64973,-7.474659,-7.233738900000001,-7.056843300000001,1.3415499,386.875,548.0,533.375,262.5,118.5,48.375,16.875,3.375,0.3672995,0.18411037,1.4348937,1.6017553999999998,1.9533459,2.3998811,2.6735444,2.9123997999999998,2.0938995,2.3525245,0.44467506,1.48546,1.9001633999999998,2.2336819,2.1194551,1.6848849,1.6176276000000003,3.1071982000000005,1.4013673999999998,536.2619,751.5,1477.5,966.875,605.625,262.5,118.5,48.375,16.875,3.375,1090.625,418.875,72.25,0.0,0,0,0,0
618.2077,0,0,618.2077,0,0,0,0,0,1.2707647,0,0,0,0,43.201640999999995,33.663371999999995,-48.706379,-20.627958,0.3603996,0,0,0,0,-25.072868,0,18.22958,32.405196999999994,11.576248,28.078421000000002,0,0,1,0,0,0,0.046004258,0.26793051,0.80579787,8662.6289,2238.4634,6732.1523,8354.6416,6074.9058,1287.941,1299.7819,4.4459176,3.8227229,2.078985,0.81992066,344.875,381.01157,3.3059418,0.052844565,2.7314932,2.3022256000000003,1.8564738999999997,1.0197432,0.55731469,0.2798717,0.057908263,0.0065455004,876.875,498.125,356.25,282.5,227.125,172.625,108.25,74.0,0.86602539,6.3639612,6.5,3.6400549,0.5,3.1622777,-3.0564451,-2.9338226,-2.9296179,-7.033931699999999,-6.694206200000001,-6.5527606,1.3627617,413.375,601.375,554.125,279.25,120.25,44.75,9.75,1.125,0.33754385,0.15840708,0.8089487,0.73434466,1.0728232,1.4243237,1.7534769000000001,1.9033966,0.41937405,0.65347266,0.76038921,1.5357306,1.7021218999999996,1.8224778999999998,2.4246852000000003,2.861016,2.685591,3.3482868999999997,1.4309305,586.0697,838.625,1617.0,1084.5,662.5,279.875,120.25,44.75,9.75,1.125,1203.625,483.125,108.375,0.625,0,0,0,0
683.10785,0,0,683.10785,0,0,0,0,0,1.2997093000000002,0,0,0,0,132.15205,21.386108,57.727268,81.157227,0.24873228,0,0,0,0,-21.686094,0,19.24404,35.970306,10.115953,23.429956,0,0,1,0,0,0,0.013154978000000001,0.23410356,0.78672045,12639.669,2928.5,9841.418,12509.421,9410.7617,2880.1846,348.72314,5.2515583,4.585875499999999,2.2599522999999997,0.52597773,352.625,401.08655,0.85632509,0.044406462,2.7796173,2.5689592,2.1634636,1.1170843000000001,0.53955632,0.23361827,0.11113839,0.052867264000000004,904.75,515.875,353.75,259.75,195.25,148.75,109.375,74.25,6.3442888,6.5192022000000005,0.5,0.5,0.70710677,0.5,-2.3775287,-2.3582685000000003,-2.3542862,-9.5837355,-9.0145588,-9.000286099999999,1.4490771999999998,535.125,802.5,722.0,326.375,131.25,51.875,23.25,9.875,0.37102473,0.19971126,0.40372613,0.48014253,0.46002188,0.45262781,0.62854499,0.82181692,1.0067197,1.3633947,0.31024653,0.35330153,0.37208623,0.61796117,0.51847124,0.60743392,0.86452925,1.5660818,1.3711531000000001,646.99194,887.125,1880.875,1338.75,813.125,326.375,131.25,51.875,23.25,9.875,1345.75,536.25,91.125,0.0,0,0,0,0
625.77563,0,0,625.77563,0,0,0,0,0,1.0805069999999999,0,0,0,0,20.623907,42.265209000000006,-55.249396999999995,-43.247710999999995,0.25996009,0,0,0,0,-27.883634999999998,0,7.5305657,13.006207,13.815887,12.001686,0,0,1,0,0,0,0.064189553,0.15607369,0.95964378,7667.4131,1131.2299,6955.5464,7248.0503,5959.8643,958.78033,748.76862,4.600724700000001,4.2233367,1.4029733999999998,1.0700101,335.25,372.53519,2.7167060000000003,0.073252805,2.6687045,2.0772917,1.4967465,0.75685185,0.38607597,0.17705797,0.071577318,0.01572551,721.25,447.25,343.625,278.5,226.125,138.625,87.625,56.0,0.5,0.5,1.0,0.70710677,0.70710677,1.2247449,-2.5767938999999997,-2.5479772,-2.488296,-7.172636,-7.000882099999999,-6.7714815,1.3666476,461.75,584.0,454.5,190.5,80.25,32.125,10.875,2.625,0.23353946,0.11535009,0.13447052,0.22919513,0.43813637,0.71435744,0.8690021000000001,0.58892101,0.91164619,1.6913964,0.80229664,1.1453817,1.3359553,1.7382592000000001,2.3879476000000004,2.616837,2.7087333,3.6113822,1.3968868,563.30621,786.875,1379.875,882.75,487.75,190.5,80.25,32.125,10.875,2.625,918.125,298.75,33.25,0.0,0,0,0,0
698.24646,0,0,698.24646,0,0,0,0,0,1.1323397,0,0,0,0,18.761183,16.860943,-33.251659000000004,-17.797264000000002,0.11180142,0,0,0,0,-22.79739,0,8.479414,15.141739999999999,11.106288000000001,15.454396,0,0,1,0,0,0,0.0833112,0.20049396,0.95713675,11591.528,2154.2439,10284.131,10744.683,9301.3555,1193.8915,1096.2812,4.9748339999999995,4.5352497000000005,1.6398515999999999,1.30904,413.625,448.05255,2.6771905,0.083949745,2.6159236,2.0247033,1.465028,0.73322183,0.36671484,0.17262757,0.078059301,0.033711082999999996,972.875,571.125,429.375,360.375,294.125,203.375,114.625,66.75,0.5,0.70710677,0.5,0.5,2.2912879,2.7386129,-3.4750421,-3.4132017999999995,-3.4040120000000003,-7.8047447,-7.5539293,-7.386350599999999,1.3801069,401.25,554.75,486.25,212.875,91.375,36.625,15.625,5.75,0.21280931,0.10163025,0.41010106,0.52535075,0.66140801,0.81805235,0.99081475,0.77088928,0.86823732,1.6101222,0.66450864,1.1436068000000001,1.4226915,1.7334859,2.4349892000000004,3.5354061000000003,5.0501814000000005,5.9797616,1.4749794,646.7887,954.0,1572.375,964.5,548.375,213.75,91.375,36.625,15.625,5.75,1171.125,409.75,62.125,0.875,0,0,0,0
667.5517,0,0,667.5517,0,0,0,0,0,1.1223954,0,0,0,0,62.179485,53.816520999999995,-34.228516,-12.162182000000001,0.090595521,0,0,0,0,-21.326935,0,10.843864,15.882076000000001,9.590687800000001,22.066336,0,0,1,0,0,0,0.0040495871,0.20558861,0.80193567,10109.771,2070.6636,8076.9995,10071.879,8005.4351,1209.9833,894.3526,4.9431677,4.4974566,2.0921263999999997,0.28620178,368.625,399.83209,1.7866414000000002,0.10587793,2.6407642000000005,1.9315348,1.4063215,0.63390523,0.32446766,0.14933778,0.052568749000000005,0.024495305,1014.5,585.875,445.375,371.625,306.125,229.5,131.75,88.875,0.70710677,6.2048368,6.403124299999999,0.5,0.5,0.70710677,-2.5467205,-2.4982901,-2.4864072999999998,-8.5653677,-8.5149765,-8.084687200000001,1.4036766999999999,382.125,482.125,409.875,171.0,72.5,30.25,11.0,4.125,0.16278417,0.081399262,0.41961199,0.47395805,0.32644367,0.33396178,0.32825819,1.0859793,1.5945921,1.5990901000000002,0.52325451,0.81776083,0.71434343,0.83992487,1.6747265,2.9655602,5.0266570999999995,6.4222817,1.396636,610.12677,852.125,1512.25,866.5,471.5,171.0,72.5,30.25,11.0,4.125,1130.125,384.375,61.625,0.0,0,0,0,0
661.5849599999999,0,0,661.5849599999999,0,0,0,0,0,1.1811323,0,0,0,0,-14.385083999999999,24.645166,-81.869919,-68.573616,0.12425026,0,0,0,0,-18.675478,0,6.7532773,14.146589,22.665838,13.296304999999998,0,0,1,0,0,0,0.036719537999999996,0.17572983,0.87902415,10786.206,1844.9491,9228.6826,10498.781,8007.0991,2227.9451,551.1621700000001,5.0719028,4.433527,1.8956658,0.84956759,355.0,394.65735,1.8271657,0.09666384,2.5838301,1.922559,1.5430614,0.68326128,0.26629376,0.11854354,0.066161469,0.028878172999999997,833.75,457.875,348.0,284.625,227.125,133.625,65.875,40.625,0.5,0.70710677,0.5,1.118034,0.5,0.70710677,-2.6402595,-2.6258367999999996,-2.6088147,-8.526943199999998,-8.1883745,-8.1449747,1.4116094,294.875,485.625,451.75,167.875,59.875,24.625,13.125,5.375,0.1720546,0.08651734900000001,1.1790976999999998,1.0059358,1.084703,1.4670831,1.8523034999999999,1.6139235,1.1079112,1.2980928,0.92167509,1.5806916000000002,1.495942,0.7348268,1.4331013000000001,2.8165153999999997,2.8160837000000005,2.814085,1.3822373,607.80084,840.125,1353.375,844.625,504.25,167.875,59.875,24.625,13.125,5.375,1058.5,359.0,52.5,0.0,0,0,0,0
